ID;Label
D2-126;OpenAI
D2-127;Human
D2-128;Anthropic
D2-129;Anthropic
D2-130;Google
D2-131;OpenAI
D2-132;Human
D2-133;Anthropic
D2-134;Meta
D2-135;Meta
D2-136;Meta
D2-137;Meta
D2-138;OpenAI
D2-139;Human
D2-140;Anthropic
D2-141;Anthropic
D2-142;OpenAI
D2-143;Anthropic
D2-144;OpenAI
D2-145;Meta
D2-146;Anthropic
D2-147;OpenAI
D2-148;Anthropic
D2-149;Anthropic
D2-150;Anthropic
D3-76;Human
D3-77;Human
D3-78;Human
D3-79;Meta
D3-80;Meta
D3-81;Anthropic
D3-82;Meta
D3-83;Meta
D3-84;Meta
D3-85;Human
D3-86;Human
D3-87;Anthropic
D3-88;Anthropic
D3-89;Anthropic
D3-90;Anthropic
D3-91;Anthropic
D3-92;Meta
D3-93;Human
D3-94;OpenAI
D3-95;OpenAI
D3-96;Anthropic
D3-97;OpenAI
D3-98;Anthropic
D3-99;Anthropic
D3-100;Anthropic
D4-1;Anthropic
D4-2;OpenAI
D4-3;Google
D4-4;OpenAI
D4-5;Anthropic
D4-6;OpenAI
D4-7;OpenAI
D4-8;OpenAI
D4-9;Human
D4-10;OpenAI
D4-11;Anthropic
D4-12;Human
D4-13;OpenAI
D4-14;OpenAI
D4-15;OpenAI
D4-16;OpenAI
D4-17;Anthropic
D4-18;OpenAI
D4-19;OpenAI
D4-20;OpenAI
D4-21;OpenAI
D4-22;Anthropic
D4-23;OpenAI
D4-24;Anthropic
D4-25;OpenAI
D4-26;Anthropic
D4-27;Anthropic
D4-28;Meta
D4-29;Anthropic
D4-30;OpenAI
D4-31;Google
D4-32;Anthropic
D4-33;Google
D4-34;OpenAI
D4-35;Meta
D4-36;Human
D4-37;Anthropic
D4-38;Anthropic
D4-39;Meta
D4-40;OpenAI
D4-41;Google
D4-42;Meta
D4-43;Anthropic
D4-44;Anthropic
D4-45;Human
D4-46;Meta
D4-47;Anthropic
D4-48;Google
D4-49;Human
D4-50;OpenAI
D4-51;OpenAI
D4-52;OpenAI
D4-53;Human
D4-54;Anthropic
D4-55;Human
D4-56;Human
D4-57;Anthropic
D4-58;Anthropic
D4-59;Anthropic
D4-60;OpenAI
D4-61;OpenAI
D4-62;OpenAI
D4-63;OpenAI
D4-64;OpenAI
D4-65;OpenAI
D4-66;OpenAI
D4-67;Human
D4-68;Anthropic
D4-69;OpenAI
D4-70;Anthropic
D4-71;Human
D4-72;OpenAI
D4-73;OpenAI
D4-74;Human
D4-75;Anthropic
D4-76;OpenAI
D4-77;OpenAI
D4-78;Anthropic
D4-79;Anthropic
D4-80;Anthropic
D4-81;Meta
D4-82;Anthropic
D4-83;Human
D4-84;Human
D4-85;Anthropic
D4-86;Google
D4-87;OpenAI
D4-88;Anthropic
D4-89;Anthropic
D4-90;OpenAI
D4-91;Anthropic
D4-92;OpenAI
D4-93;Google
D4-94;OpenAI
D4-95;Meta
D4-96;Human
D4-97;OpenAI
D4-98;Anthropic
D4-99;Human
D4-100;Human
