ID;Label
D2-126;OpenAI
D2-127;Human
D2-128;Anthropic
D2-129;Human
D2-130;Anthropic
D2-131;Meta
D2-132;Human
D2-133;Anthropic
D2-134;OpenAI
D2-135;Human
D2-136;Human
D2-137;OpenAI
D2-138;Human
D2-139;Human
D2-140;OpenAI
D2-141;OpenAI
D2-142;Human
D2-143;OpenAI
D2-144;OpenAI
D2-145;OpenAI
D2-146;Anthropic
D2-147;OpenAI
D2-148;Anthropic
D2-149;Anthropic
D2-150;Anthropic
D3-76;Anthropic
D3-77;Human
D3-78;OpenAI
D3-79;OpenAI
D3-80;Meta
D3-81;Anthropic
D3-82;Google
D3-83;Meta
D3-84;OpenAI
D3-85;Human
D3-86;Human
D3-87;Anthropic
D3-88;OpenAI
D3-89;Anthropic
D3-90;OpenAI
D3-91;Google
D3-92;Meta
D3-93;Human
D3-94;Meta
D3-95;Anthropic
D3-96;Anthropic
D3-97;Meta
D3-98;Anthropic
D3-99;Anthropic
D3-100;Anthropic
D4-1;Human
D4-2;OpenAI
D4-3;Google
D4-4;OpenAI
D4-5;Anthropic
D4-6;Anthropic
D4-7;Anthropic
D4-8;OpenAI
D4-9;Human
D4-10;Anthropic
D4-11;Google
D4-12;OpenAI
D4-13;OpenAI
D4-14;OpenAI
D4-15;OpenAI
D4-16;OpenAI
D4-17;Anthropic
D4-18;Anthropic
D4-19;Meta
D4-20;Google
D4-21;OpenAI
D4-22;Anthropic
D4-23;OpenAI
D4-24;OpenAI
D4-25;OpenAI
D4-26;Anthropic
D4-27;Anthropic
D4-28;Meta
D4-29;OpenAI
D4-30;Meta
D4-31;Google
D4-32;Human
D4-33;Google
D4-34;Human
D4-35;Google
D4-36;Human
D4-37;Anthropic
D4-38;OpenAI
D4-39;Meta
D4-40;Meta
D4-41;Google
D4-42;Meta
D4-43;Anthropic
D4-44;Google
D4-45;Human
D4-46;Anthropic
D4-47;Anthropic
D4-48;Human
D4-49;Human
D4-50;Meta
D4-51;OpenAI
D4-52;OpenAI
D4-53;Human
D4-54;Anthropic
D4-55;Human
D4-56;Human
D4-57;Anthropic
D4-58;Anthropic
D4-59;OpenAI
D4-60;Meta
D4-61;OpenAI
D4-62;OpenAI
D4-63;OpenAI
D4-64;OpenAI
D4-65;OpenAI
D4-66;Meta
D4-67;OpenAI
D4-68;Anthropic
D4-69;OpenAI
D4-70;Anthropic
D4-71;Human
D4-72;OpenAI
D4-73;OpenAI
D4-74;Anthropic
D4-75;Google
D4-76;Meta
D4-77;OpenAI
D4-78;Anthropic
D4-79;Anthropic
D4-80;Anthropic
D4-81;Meta
D4-82;Anthropic
D4-83;Human
D4-84;Human
D4-85;Anthropic
D4-86;Google
D4-87;Meta
D4-88;Anthropic
D4-89;Anthropic
D4-90;Meta
D4-91;Anthropic
D4-92;Anthropic
D4-93;OpenAI
D4-94;Anthropic
D4-95;Meta
D4-96;Human
D4-97;Google
D4-98;Anthropic
D4-99;Human
D4-100;Human
